"","Datum","Daily.Nr.","Probenummer","Objektbezeichnung","Fundlage","Lage","Taxon","Name","Resttyp","Erhaltungstyp","Season","Himmelsrichtung","Art"
"50","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus cf. papyrus","Papyrus","Halm","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"51","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperaceae sp.","Riedgras","Wurzel","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"52","16.12.2018","16.12.2018-122","TG18_MS1_CS_297","Probe","MS2, zw. M004 und M008","MS2","Cyperaceae sp.","Riedgras","Wurzel","vertrocknet","2018","Nord-Westen","wildwachsende Pflanzen"
"53","09.12.2018","9.12.2018-107","TG18_MS1_CS_042","Datteln, Dompalme, Kerne Früchte","MS2, in Schnitt X3, Aushub nach Westen hin","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Westen","Gemüse"
"54","09.12.2018","9.12.2018-107","TG18_MS1_CS_042","Datteln, Dompalme, Kerne Früchte","MS2, in Schnitt X3, Aushub nach Westen hin","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Westen","Gemüse"
"55","09.12.2018","9.12.2018-146","TG18_MS1_CS_060","Frucht (ausgetrocknet)","MS2, Westen von M006","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Westen","Gemüse"
"56","09.12.2018","9.12.2018-148","TG18_MS1_CS_061","Frucht (ausgetrocknet)","MS2, zw. M004 und M003","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Westen","Gemüse"
"57","10.12.2018","10.12.2018-124","TG18_MS1_CS_097","Holz und Frucht","MS1, Nordwand in Korbbefund","MS1","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Norden","Gemüse"
"58","10.12.2018","10.12.2018-134","TG18_MS1_CS_105","Samen","MS2, Osten von M004, ueber Matte B","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Westen","Gemüse"
"59","10.12.2018","10.12.2018-143","TG18_MS1_CS_110","Wurzel","MS2, Osten von M005, M006, M007","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Osten","Gemüse"
"60","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"61","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"62","10.12.2018","10.12.2018-171","TG18_MS1_CS_124","Korbstücke","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"63","13.12.2018","13.12.2018-145","TG18_MS1_CS_231","Frucht, Kerne, Zwiebelschale","MS1, Suedwand aussen","MS1","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"64","15.12.2018","15.12.2018-132","TG18_MS1_CS_270","Kerne","MS1, Suedwand aussen","MS1","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"65","15.12.2018","15.12.2018-132","TG18_MS1_CS_270","Kerne","MS1, Suedwand aussen","MS1","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"66","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Norden","Gemüse"
"67","16.12.2018","16.12.2018-138","TG18_MS1_CS_308","Botanikprobe","MS2, zw. M008 und Suedwand","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Norden","Gemüse"
"68","16.12.2018","16.12.2018-149","TG18_MS1_CS_313","Kerne, Früchte, Zwiebelschale","MS1, Nordwand aussen, nahe Nord-Ost-Ecke","MS1","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Nord-Osten","Gemüse"
"69","19.12.2018","19.12.2018-110","TG18_MS1_CS_375","Kern und Frucht","MS2, auf Matte A, im Sueden","MS2","Cyperus rotundus","Nussgras","Wurzel","vertrocknet","2018","Sueden","Gemüse"
"70","09.12.2018","9.12.2018-107","TG18_MS1_CS_042","Datteln, Dompalme, Kerne Früchte","MS2, in Schnitt X3, Aushub nach Westen hin","MS2","Cyperus rotundus","Nussgras","Wurzel","verkohlt","2018","Nord-Westen","Gemüse"
"71","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus rotundus","Nussgras","Wurzel","verkohlt","2018","Sueden","Gemüse"
"72","10.12.2018","10.12.2018-158","TG18_MS1_CS_119","Samen","MS2, Suederweiterung X2, obere Schicht","MS2","Cyperus rotundus","Nussgras","Wurzel","verkohlt","2018","Sueden","Gemüse"
"73","13.12.2018","13.12.2018-146","TG18_MS1_CS_232","Holz","MS1, Suedwand aussen","MS1","Desmostachya bipinnata","Ägyptisches Halfagras","Halm","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"74","13.12.2018","13.12.2018-146","TG18_MS1_CS_232","Holz","MS1, Suedwand aussen","MS1","Desmostachya bipinnata","Ägyptisches Halfagras","Halm","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"75","13.12.2018","13.12.2018-146","TG18_MS1_CS_232","Holz","MS1, Suedwand aussen","MS1","Desmostachya bipinnata","Ägyptisches Halfagras","Halm","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"76","13.12.2018","13.12.2018-146","TG18_MS1_CS_232","Holz","MS1, Suedwand aussen","MS1","Desmostachya bipinnata","Ägyptisches Halfagras","Halm","vertrocknet","2018","Sueden","wildwachsende Pflanzen"
"77","09.12.2018","9.12.2018-107","TG18_MS1_CS_042","Datteln, Dompalme, Kerne Früchte","MS2, in Schnitt X3, Aushub nach Westen hin","MS2","Hyphaene thebaica","Dumpalme","Frucht","vertrocknet","2018","Nord-Westen","Früchte"
